mean_lon,mean_lat,date_str,mean_lon_str,mean_lat_str,matched_lat,matched_lon,matched_chla
176.619432886108,32.6787283689241,2005-05-04,176.619432886108,32.6787283689241,32.6875,176.60416666666663,0.29361632
175.860895212552,35.057734124614,2005-06-23,175.860895212552,35.057734124614,35.0625,175.85416666666663,0.11471551
180.592617770427,40.4057593651645,2005-08-12,180.592617770427,40.4057593651645,40.395833333333336,180.60416666666663,0.36021894
183.510212411605,41.6848032419466,2005-10-01,183.510212411605,41.6848032419466,41.6875,183.52083333333337,0.3131289
186.999746586372,37.3662285175569,2005-11-20,186.999746586372,37.3662285175569,37.35416666666667,186.97916666666663,0.29074964
193.315150592714,32.1379277609952,2006-01-09,193.315150592714,32.1379277609952,32.145833333333336,193.3125,0.28590915
199.01578005525,32.1112577913518,2006-02-28,199.01578005525,32.1112577913518,32.10416666666667,199.02083333333337,0.21084838
196.367856222399,34.9122377945573,2006-04-19,196.367856222399,34.9122377945573,34.895833333333336,196.35416666666663,0.105582014
194.311561551928,34.6966077152962,2006-06-08,194.311561551928,34.6966077152962,34.6875,194.3125,0.092690356
192.85445935735,37.0917501942058,2006-07-28,192.85445935735,37.0917501942058,37.10416666666667,192.85416666666663,0.05568646
194.078757811627,41.7693290372383,2006-09-16,194.078757811627,41.7693290372383,41.770833333333336,194.0625,0.37469563
192.044436165313,38.2279593047231,2006-11-05,192.044436165313,38.2279593047231,38.22916666666667,192.0625,0.22216858
191.760026290605,34.7385780752043,2006-12-25,191.760026290605,34.7385780752043,34.72916666666667,191.77083333333337,0.24857464
195.063134981283,31.7396435280445,2007-02-13,195.063134981283,31.7396435280445,31.72916666666667,195.0625,0.25085986
199.306553405532,34.3432418597437,2007-04-04,199.306553405532,34.3432418597437,34.35416666666667,199.3125,0.35418916
205.605040455239,35.1277116865649,2007-05-24,205.605040455239,35.1277116865649,35.145833333333336,205.60416666666663,0.095182225
210.280467921659,38.460826483342,2007-07-13,210.280467921659,38.460826483342,38.47916666666667,210.27083333333337,0.12541266
215.722452964025,39.3374947731784,2007-09-01,215.722452964025,39.3374947731784,39.35416666666667,215.72916666666663,0.11529585
223.007301112593,35.8679284198372,2007-10-21,223.007301112593,35.8679284198372,35.85416666666667,223.02083333333331,0.10227047
225.638647308816,30.1854023141461,2007-12-10,225.638647308816,30.1854023141461,30.1875,225.64583333333331,0.0875196
232.406424355302,28.328588352337,2008-01-29,232.406424355302,28.328588352337,28.3125,232.39583333333331,0.08868052
239.552975360004,25.9810780813157,2008-03-19,239.552975360004,25.9810780813157,25.97916666666667,239.5625,0.06525724
245.871574770029,24.8366188324699,2008-05-08,245.871574770029,24.8366188324699,24.85416666666667,245.85416666666663,0.1478637
248.571044756,23.7241735345355,2008-06-27,248.571044756,23.7241735345355,23.72916666666667,248.5625,0.5456596
245.7579071789,26.7817714626367,2008-08-16,245.7579071789,26.7817714626367,26.770833333333336,245.77083333333331,0.7134876
